Date,Close,Volume
10/2/2018,27126.38086,2081279200
10/3/2018,27091.25977,1316749100
10/4/2018,26623.86914,1903259700
10/5/2018,26572.57031,1684117300
10/8/2018,26202.57031,2296488600
10/9/2018,26172.91016,1744919700
10/10/2018,26193.07031,1719141400
10/11/2018,25266.36914,3090446400
10/12/2018,25801.49023,2099313400
10/15/2018,25445.06055,1614888500
10/16/2018,25462.25977,1467251700
10/18/2018,25454.55078,1764725000
10/19/2018,25561.40039,2037871700
10/22/2018,26153.15039,2222812200
10/23/2018,25346.55078,1772912000
10/24/2018,25249.7793,1962753500
10/25/2018,24994.46094,2288634200
10/26/2018,24717.63086,1688395600
10/29/2018,24812.03906,2000985900
10/30/2018,24585.5293,2100387500
10/31/2018,24979.68945,2363084500
11/1/2018,25416,2176972600
11/2/2018,26486.34961,3518978800
11/5/2018,25934.39063,1626675400
11/6/2018,26120.96094,1562913100
11/7/2018,26147.68945,1731287400
11/8/2018,26227.7207,1654626400
11/9/2018,25601.91992,1839798600
11/12/2018,25633.17969,1171178800
11/13/2018,25792.86914,1689989400
11/14/2018,25654.42969,1431673200
11/15/2018,26103.33984,1534457400
11/16/2018,26183.5293,1330024100
11/19/2018,26372,1320040400
11/20/2018,25840.33984,1205800000
11/21/2018,25971.4707,1397423500
11/22/2018,26019.41016,1010983600
11/23/2018,25927.67969,877061500
11/26/2018,26376.17969,1611982200
11/27/2018,26331.96094,1394358800
11/28/2018,26682.56055,1415273800
11/29/2018,26451.0293,1469593600
11/30/2018,26506.75,2000815900
12/3/2018,27182.03906,2549703200
12/4/2018,27260.43945,1880483300
12/5/2018,26819.67969,1330919400
12/6/2018,26156.38086,2123180600
12/7/2018,26063.75977,2726993500
12/10/2018,25752.38086,1544284600
12/11/2018,25771.66992,1190934600
12/12/2018,26186.71094,1429660600
12/13/2018,26524.34961,1747235100
12/14/2018,26094.78906,1344364100
12/17/2018,26087.98047,1036879300
12/18/2018,25814.25,1449449300
12/19/2018,25865.39063,1430181500
12/20/2018,25623.5293,1717860300
12/21/2018,25753.41992,1935298900
12/24/2018,25651.38086,1074120100
12/27/2018,25478.88086,1313061500
12/28/2018,25504.19922,1224894400
12/31/2018,25845.69922,826507300
1/2/2019,25130.34961,1666316400
1/3/2019,25064.35938,1481291700
1/4/2019,25626.0293,1708572100
1/7/2019,25835.69922,1447090300
1/8/2019,25875.44922,1578205700
1/9/2019,26462.32031,2680892000
1/10/2019,26521.42969,1939043900
1/11/2019,26667.26953,1799353900
1/14/2019,26298.33008,1426017400
1/15/2019,26830.28906,1822902000
1/16/2019,26902.09961,1714886500
1/17/2019,26755.63086,1860541000
1/18/2019,27090.81055,1692701900
1/21/2019,27196.53906,1640014700
1/22/2019,27005.44922,1578449700
1/23/2019,27008.19922,1381999400
1/24/2019,27120.98047,1323732100
1/25/2019,27569.18945,2264965800
1/28/2019,27576.96094,1705146300
1/29/2019,27531.67969,1821838000
1/30/2019,27642.84961,1821894600
1/31/2019,27942.4707,2225282600
2/1/2019,27930.74023,1669716900
2/4/2019,27990.21094,808061300
2/8/2019,27946.32031,1527669600
2/11/2019,28143.83984,1384082500
2/12/2019,28171.33008,1492521500
2/13/2019,28497.58984,1930777700
2/14/2019,28432.05078,1433724900
2/15/2019,27900.83984,1781495400
2/18/2019,28347.00977,1549943500
2/19/2019,28228.13086,1653127000
2/20/2019,28514.05078,1928707100
2/21/2019,28629.91992,1814520300
2/22/2019,28816.30078,1706490600
2/25/2019,28959.30078,3517972400
2/26/2019,28772.06055,2758187900
2/27/2019,28757.43945,2378404200
2/28/2019,28633.17969,2086693500
3/1/2019,28812.16992,1927040400
3/4/2019,28959.58984,2682948700
3/5/2019,28961.59961,1951621500
3/6/2019,29037.59961,1794494900
3/7/2019,28779.44922,1691993300
3/8/2019,28228.41992,2998999600
3/11/2019,28503.30078,1525534800
3/12/2019,28920.86914,0
3/13/2019,28807.44922,1183090900
3/14/2019,28851.39063,1390223200
3/15/2019,29012.25977,1974569100
3/18/2019,29409.00977,1887811300
3/19/2019,29466.2793,1747657200
3/20/2019,29320.9707,1580528500
3/21/2019,29071.56055,1750672700
3/22/2019,29113.35938,1740699100
3/25/2019,28523.34961,2091121900
3/26/2019,28566.91016,1406624800
3/27/2019,28728.25,1475536600
3/28/2019,28775.21094,1582079600
3/29/2019,29051.35938,2695223000
4/1/2019,29562.01953,2475412300
4/2/2019,29624.66992,1858466500
4/3/2019,29986.39063,2019434600
4/4/2019,29936.32031,1854467500
4/8/2019,30077.15039,2321011600
4/9/2019,30157.49023,2049354000
4/10/2019,30119.56055,1814064400
4/11/2019,29839.44922,1897154200
4/12/2019,29909.75977,1560692000
4/15/2019,29810.7207,2010638200
4/16/2019,30129.86914,2546181500
4/17/2019,30124.67969,2035147300
4/18/2019,29963.25977,1569930600
4/23/2019,29963.24023,2006226400
4/24/2019,29805.83008,1748986700
4/25/2019,29549.80078,1644483200
4/26/2019,29605.00977,1411001700
4/29/2019,29892.81055,1250717200
4/30/2019,29699.10938,1359023200
5/2/2019,29944.17969,1298906600
5/3/2019,30081.55078,1217388500
5/6/2019,29209.82031,2934065800
5/7/2019,29363.01953,1997665400
5/8/2019,29003.19922,2182802000
5/9/2019,28311.07031,2907223700
5/10/2019,28550.24023,2421480000
5/14/2019,28122.01953,2875261200
5/15/2019,28268.71094,2244890100
5/16/2019,28275.07031,2372367500
5/17/2019,27946.46094,1922181900
5/20/2019,27787.60938,2260468500
5/21/2019,27657.24023,2229189200
5/22/2019,27705.93945,1705803400
5/23/2019,27267.13086,2219416000
5/24/2019,27353.92969,1677043500
5/27/2019,27288.08984,1264256500
5/28/2019,27390.81055,3043711500
5/29/2019,27235.71094,2236869000
5/30/2019,27114.88086,1884022200
5/31/2019,26901.08984,1829465900
6/3/2019,26893.85938,1716241600
6/4/2019,26761.51953,1527666000
6/5/2019,26895.43945,1894174900
6/6/2019,26965.2793,1601926500
6/10/2019,27578.64063,2272329600
6/11/2019,27789.33984,1824700000
6/12/2019,27308.46094,1866884200
6/13/2019,27294.71094,1846303100
6/14/2019,27118.34961,2031083500
6/17/2019,27227.16016,1487266700
6/18/2019,27498.76953,1550614700
6/19/2019,28202.14063,2076060300
6/20/2019,28550.42969,1820185000
6/21/2019,28473.71094,2171897300
6/24/2019,28513,1338833200
6/25/2019,28185.98047,1851984100
6/26/2019,28221.98047,1431402200
6/27/2019,28621.41992,1679897500
6/28/2019,28542.61914,1486688000
7/2/2019,28875.56055,2110432700
7/3/2019,28855.14063,1291301500
7/4/2019,28795.76953,928449700
7/5/2019,28774.83008,846919500
7/8/2019,28331.68945,1250874300
7/9/2019,28116.2793,1218475000
7/10/2019,28204.68945,1013012100
7/11/2019,28431.80078,1067070900
7/12/2019,28471.61914,1204492700
7/15/2019,28554.88086,1317116400
7/16/2019,28619.61914,1024681900
7/17/2019,28593.16992,950441100
7/18/2019,28461.66016,925037300
7/19/2019,28765.40039,1261012300
7/22/2019,28371.25977,1104886500
7/23/2019,28466.48047,950029300
7/24/2019,28524.03906,1075821900
7/25/2019,28594.30078,974264600
7/26/2019,28397.74023,1320699900
7/29/2019,28106.41016,1563572300
7/30/2019,28146.5,1147561000
7/31/2019,27777.75,1287084400
8/1/2019,27565.69922,1736444000
8/2/2019,26918.58008,2317609200
8/5/2019,26151.32031,2120745300
8/6/2019,25976.24023,2751867000
8/7/2019,25997.0293,1671335000
8/8/2019,26120.76953,1658129900
8/9/2019,25939.30078,1357616900
8/12/2019,25824.7207,1200393600
8/13/2019,25281.30078,1979089800
8/14/2019,25302.2793,1915522900
8/15/2019,25495.46094,2145864600
8/16/2019,25734.2207,2022477500
8/19/2019,26291.83984,2144882700
8/20/2019,26231.53906,1822936100
8/21/2019,26270.03906,1701479200
8/22/2019,26048.7207,1780728400
8/23/2019,26179.33008,1621440900
8/26/2019,25680.33008,2475604900
8/27/2019,25664.07031,2214167200
8/28/2019,25615.48047,1462114400
8/29/2019,25703.5,1784869100
8/30/2019,25724.73047,2017892000
9/2/2019,25626.55078,1295066700
9/3/2019,25527.84961,1149210200
9/4/2019,26523.23047,2688524600
9/5/2019,26515.5293,1996619100
9/6/2019,26690.75977,1895344700
9/9/2019,26681.40039,1700948300
9/10/2019,26683.67969,1738020300
9/11/2019,27159.06055,2072246200
9/12/2019,27087.63086,1337046900
9/13/2019,27352.68945,1176496300
9/16/2019,27124.55078,2189101500
9/17/2019,26790.24023,1850715100
9/18/2019,26754.11914,1372644100
9/19/2019,26468.94922,1330417000
9/20/2019,26435.66992,1972985800
9/23/2019,26222.40039,1285452900
9/24/2019,26281,2089366000
9/25/2019,25945.34961,1762622300
9/26/2019,26041.92969,0
